time,xi_x,xi_y,xi_z,d_var_theta_x,d_var_theta_y,d_var_theta_z,var_theta_x,var_theta_y,var_theta_z,d_sigma_x,d_sigma_y,d_sigma_z,sigma_x,sigma_y,sigma_z,delta_x,delta_y,delta_z
15.52,-0.03174924066869034,0.08471874312472899,0.14906378015773517,0.19875641676033612,-1.0326515668672198,0.05872339791812792,-1.1055713939352396,-0.3490783444786594,0.3308142244455752,0.004976232533093917,-0.03577807876517654,0.011643608283420342,0.009046444987310913,0.039144820878570824,0.04502372050179777,0.0956841488354859,-0.23529594805506476,-0.36366384584523714
15.530000000000001,-0.029761676501087075,0.07439222745605678,0.14965101413691642,0.19452164164389577,-1.0130614859169742,0.07268436277055762,-1.1036261775188008,-0.3592089593378291,0.33154106807328076,0.0027953218530750758,-0.04498685692925633,0.011865492461152288,0.009074398205841664,0.03869495230927826,0.045142375426409295,0.09129741547630528,-0.21452167887947193,-0.36487940800620244
15.540000000000001,-0.032973168674399256,0.08898148635370445,0.15268547681420824,0.23468194944707832,-1.0380711797258995,0.08457460056567012,-1.10127935802433,-0.36958967113508806,0.33238681407893744,0.005986966886688486,-0.0289925257734045,0.014527611060170836,0.009134267874708548,0.038405027051544215,0.045287651537011,0.09847088650482771,-0.24284171963450454,-0.370672825864928
15.55,-0.03062634917992857,0.07860077455644549,0.15353122281986492,0.22951521973943906,-1.017267812889855,0.08159688200954052,-1.0989842058269357,-0.3797623492639866,0.3332027828990328,0.0034163692536753297,-0.038468038973357266,0.014917430616925631,0.009168431567245302,0.038020346661810644,0.04543682584318026,0.09332070166891973,-0.22213549062683774,-0.3723983147959644
15.56,-0.028331196982534168,0.06842809642754694,0.1543471916399603,0.2245966773255082,-0.9978235598826012,0.09563823879776967,-1.0967382390536806,-0.3897405848628126,0.3341591652870105,0.0009566223161921322,-0.047440113582571705,0.015265188823786385,0.009177997790407224,0.037545945525984926,0.045589477731418124,0.08819453367522093,-0.20147223161809139,-0.3740714891407493
15.57,-0.02608523020927911,0.058449860828720945,0.15530357402793799,0.21972463956985316,-0.9785508460482388,0.11196916146715641,-1.094540992657982,-0.399526093323295,0.3352788569016821,-0.0014041271540359626,-0.05593890817879408,0.01574239294610752,0.009163956518866865,0.03698655644419699,0.0457469016608792,0.08308111834157571,-0.1807823479122485,-0.3760096808472385
15.58,-0.03292499456942766,0.08366314074880776,0.15433348363498584,0.2772018760040269,-1.0320574945284497,0.13341301241608156,-1.091768973897942,-0.40984666826857946,0.3366129870258429,0.005668505430904688,-0.028979957886647853,0.014278089091108892,0.009220641573175913,0.03669675686533051,0.04588968255179029,0.09845386401809145,-0.23070498351563234,-0.37435596690913503
15.59,-0.030152975809387472,0.07334256580352327,0.15566761375914667,0.2700665790982552,-1.0066997992786169,0.07118012161062914,-1.0890683081069594,-0.4199136662613656,0.3373247882419492,0.002672027625831422,-0.03839704117322462,0.015163927063226917,0.009247361849434227,0.03631278645359827,0.04604132182242256,0.09234798389755176,-0.2099825167853145,-0.37698933731184037
15.6,-0.02745231001840498,0.06327556781073712,0.15637941497525298,0.26427783141330763,-0.987356822951934,0.08601224572719418,-1.0864255297928263,-0.42978723449088496,0.3381849106992212,-0.00019005088850503407,-0.04726756792953185,0.0153995726259738,0.009245461340549177,0.03584011077430295,0.046195317548682294,0.08627749211383134,-0.18937091117205693,-0.37846918071325214
15.610000000000001,-0.032939934759332656,0.08117664344604303,0.15278928318012988,0.2982575615088011,-1.0239770760654132,0.11005032972647477,-1.0834429541777382,-0.4400270052515391,0.33928541399648593,0.005438318481654238,-0.02789333873714936,0.011325832484732734,0.00929984452536572,0.03556117738693146,0.04630857587352962,0.09856812525850683,-0.22466059880040976,-0.37191975531310295
