time,d_delta_x,d_delta_y,d_delta_z,delta_x,delta_y,delta_z
1.72,0.010631710141708273,0.014399790061289403,0.018239002560615697,-0.08735761187234502,-0.006297783677727673,-0.0174024379070374
1.73,0.007214354559040459,0.015184833790816402,0.01535363542165328,-0.08728546832675461,-0.006145935339819509,-0.017248901552820866
1.74,0.007038306149329654,0.014779866441138203,0.014954193834057598,-0.08721508526526132,-0.005998136675408127,-0.01709935961448029
1.75,0.006866546348704428,0.014385507273758267,0.01456504541061885,-0.08714641980177427,-0.005854281602670545,-0.016953709160374104
1.76,0.006698971038965329,0.014001485630374488,0.014185929459654814,-0.08707943009138462,-0.0057142667463668,-0.016811849865777554
1.77,0.0023225404901560387,0.015224681337275097,0.010301814163117887,-0.08705620468648306,-0.005562019932994049,-0.016708831724146375
1.78,0.0022658559384456933,0.014817861803573439,0.010033545394857582,-0.08703354612709861,-0.005413841314958315,-0.0166084962701978
1.79,0.0022105540753761255,0.014421706671991625,0.009772217186900287,-0.08701144058634486,-0.005269624248238398,-0.016510774098328795
1.8,-0.0006575992137502484,0.012349002828767747,0.008095150896262372,-0.08701801657848236,-0.005146134219950721,-0.01642982258936617
1.81,-0.0006415491522950845,0.012018523585603864,0.00788424078303225,-0.08702443207000532,-0.005025948984094682,-0.016350980181535846
1.82,-0.0006258908873399416,0.011696745602392478,0.007678797343459595,-0.08703069097887872,-0.004908981528070757,-0.01627419220810125
1.83,-0.0025280324571835266,0.00931265349165536,0.00740183264960826,-0.08705597130345055,-0.0048158549931542035,-0.01620017388160517
1.84,-0.002466331696145796,0.00906311323422426,0.007208908259968068,-0.087080634620412,-0.0047252238608119605,-0.016128084799005488
1.85,-0.0024061377550841367,0.008820174677822389,0.007020988402335428,-0.08710469599796285,-0.004637022114033737,-0.016057874914982135
1.86,-0.005325487773465087,0.0069057495417390365,0.009013608507969298,-0.0871579508756975,-0.004567964618616346,-0.01596773882990244
1.87,-0.005195517484738843,0.006720519007120097,0.00877858195279152,-0.08720990605054489,-0.0045007594285451456,-0.015879953010374526
1.8800000000000001,-0.005068723208427661,0.006540208468044919,0.008549647803042189,-0.08726059328262917,-0.004435357343864696,-0.015794456532344105
1.8900000000000001,-0.004945027137659014,0.006364689361186232,0.008326649854804018,-0.08731004355400576,-0.004371710450252834,-0.015711190033796063
1.9000000000000001,-0.006885148446550915,0.005518265542971648,0.010953982287090255,-0.08737889503847127,-0.004316527794823118,-0.015601650210925161
1.9100000000000001,-0.006717135827726373,0.005370098218568077,0.010668181087246563,-0.08744606639674853,-0.0042628268126374365,-0.015494968400052695
1.92,-0.006553229831921248,0.005225877158865473,0.010389783014511891,-0.08751159869506774,-0.004210568041048782,-0.015391070569907576
1.93,-0.0074893074456887365,0.004287013042159799,0.012987550979597487,-0.08758649176952463,-0.004167697910627184,-0.015261195060111601
1.94,-0.007306574654512121,0.004171831793043961,0.012648490963446786,-0.08765955751606974,-0.004125979592696744,-0.015134710150477133
1.95,-0.007128308362474051,0.004059725355482668,0.012318205976980294,-0.08773084059969448,-0.004085382339141918,-0.01501152809070733
1.96,-0.008498134795591333,0.004056469888204232,0.0157910166383049,-0.08781582194765039,-0.0040448176402598755,-0.014853617924324282
1.97,-0.008290815564991755,0.003947425864950456,0.015378472265283986,-0.08789873010330031,-0.004005343381610371,-0.014699833201671442
1.98,-0.008088564311275637,0.0038412950077391338,0.014976590342325805,-0.08797961574641307,-0.003966930431532979,-0.014550067298248185
1.99,-0.007891256646815642,0.003738000340745203,0.014585100514444546,-0.08805852831288122,-0.003929550428125527,-0.014404216293103738
2.0,-0.008057961671600833,0.0036727279294311724,0.016274481904648197,-0.08813910792959723,-0.003892823148831215,-0.014241471474057256
2.0100000000000002,-0.007861419422431515,0.003573934075444888,0.015848824204404637,-0.08821772212382155,-0.003857083808076766,-0.01408298323201321
2.02,-0.007669680238833826,0.0034777824859566564,0.015434173513505345,-0.08829441892620989,-0.0038223059832171993,-0.013928641496878155
2.0300000000000002,-0.007510494412291541,0.003800018849693363,0.016634458613755114,-0.0883695238703328,-0.0037843057947202657,-0.013762296910740605
2.04,-0.007327331177423957,0.003697752467507682,0.01619898963117128,-0.08844279718210704,-0.0037473282700451888,-0.013600307014428891
2.05,-0.007148642832495611,0.003598221680280886,0.015774785970508555,-0.088514283610432,-0.00371134605324238,-0.013442559154723805
2.06,-0.006545723824529198,0.0035723975591346723,0.016749906693659035,-0.08857974084867729,-0.0036756220776510335,-0.013275060087787215
2.07,-0.0063861096961116415,0.0034762096385203885,0.01631099924595076,-0.0886436019456384,-0.0036408599812658296,-0.013111950095327708
2.08,-0.006230393721632643,0.003382596644546461,0.015883452847811987,-0.08870590588285474,-0.003607034014820365,-0.012953115566849588
2.09,-0.0060784804052305685,0.0032914903544332096,0.015466979605283225,-0.08876669068690704,-0.003574119111276033,-0.012798445770796755
2.1,-0.005334482842912519,0.0036782280757722743,0.01567366429696564,-0.08882003551533617,-0.0035373368305183102,-0.012641709127827099
2.11,-0.005204423432192157,0.00357912816200843,0.015262432493849027,-0.08887207974965809,-0.003501545548898226,-0.012489084802888609
2.12,-0.005077538992570796,0.0034826819544026538,0.014861863682200913,-0.0889228551395838,-0.0034667187293541996,-0.0123404661660666
2.13,-0.003907075786817621,0.002056812097567545,0.014582891925061747,-0.08896192589745197,-0.003446150608378524,-0.012194637246815982
2.14,-0.0038118263285308873,0.00200137111308915,0.014199922287032863,-0.08900004416073728,-0.0034261368972476327,-0.012052638023945654
2.15,-0.0037189010764909214,0.001947419352147814,0.013826897829764036,-0.0890372331715022,-0.0034066627037261546,-0.011914369045648014
2.16,-0.0036282432131852227,0.0018949170688973933,0.013463565307851425,-0.08907351560363405,-0.0033877135330371805,-0.0117797333925695
2.17,-0.0026032456546308813,-0.0004982488173690489,0.013332711397662442,-0.08909954806018036,-0.003392696021210871,-0.011646406278592876
2.18,-0.002539787365353513,-0.0004848143877855173,0.01298216290154015,-0.0891249459338339,-0.0033975441650887263,-0.011516584649577475
